10,12
12,28
14,43
16,68
18,70
20,94
22,124
24,159
26,204
28,253
30,302
32,366
34,435
36,516
38,603
40,713
42,807
44,944
46,991
48,1113
50,1235
52,666
54,764
56,848
58,924
60,1022
62,1108
64,1229
66,1265
68,1360
70,1543
72,1670
74,2705
76,2499
78,2612
80,3776
82,4389
84,4739
86,5017
88,5378
90,6266
92,6166
94,6191
96,4738
98,4615
100,3510
102,5229
104,5104
106,4764
108,4579
110,5217
112,4881
114,5940
116,8911
118,7002
120,10635
122,9679
124,10664
126,9701
128,8083
130,9500
132,9105
134,9726
136,10790
138,11053
140,15517
142,14054
144,15367
146,16255
148,15687
150,19117
